record_date,transaction_type,transaction_today_amt
2024-01-02,Deposits,449297
2024-01-02,Withdrawals,451549
2024-01-03,Deposits,16418
2024-01-03,Withdrawals,39295
2024-01-04,Deposits,242789
2024-01-04,Withdrawals,233076
2024-01-05,Deposits,14716
2024-01-05,Withdrawals,19910
2024-01-08,Deposits,30562
2024-01-08,Withdrawals,19979
2024-01-09,Deposits,228700
2024-01-09,Withdrawals,237862
2024-01-10,Deposits,20642
2024-01-10,Withdrawals,42200
2024-01-11,Deposits,275222
2024-01-11,Withdrawals,272775
2024-01-12,Deposits,29804
2024-01-12,Withdrawals,24359
2024-01-16,Deposits,419968
2024-01-16,Withdrawals,360420
2024-01-17,Deposits,20975
2024-01-17,Withdrawals,42737
2024-01-18,Deposits,247253
2024-01-18,Withdrawals,231108
2024-01-19,Deposits,19693
2024-01-19,Withdrawals,19369
2024-01-22,Deposits,36606
2024-01-22,Withdrawals,24081
2024-01-23,Deposits,246065
2024-01-23,Withdrawals,230545
2024-01-24,Deposits,37020
2024-01-24,Withdrawals,39919
2024-01-25,Deposits,286227
2024-01-25,Withdrawals,271331
2024-01-26,Deposits,16043
2024-01-26,Withdrawals,16692
2024-01-29,Deposits,32002
2024-01-29,Withdrawals,17596
2024-01-30,Deposits,251686
2024-01-30,Withdrawals,232220
2024-01-31,Deposits,245341
2024-01-31,Withdrawals,243136
2024-02-01,Deposits,275489
2024-02-01,Withdrawals,327309
2024-02-02,Deposits,16719
2024-02-02,Withdrawals,44203
2024-02-05,Deposits,31533
2024-02-05,Withdrawals,17414
2024-02-06,Deposits,257194
2024-02-06,Withdrawals,236615
2024-02-07,Deposits,17843
2024-02-07,Withdrawals,17148
2024-02-08,Deposits,247098
2024-02-08,Withdrawals,235699
2024-02-09,Deposits,12622
2024-02-09,Withdrawals,13655
2024-02-12,Deposits,29390
2024-02-12,Withdrawals,16328
2024-02-13,Deposits,255614
2024-02-13,Withdrawals,240259
2024-02-14,Deposits,18099
2024-02-14,Withdrawals,46572
2024-02-15,Deposits,388098
2024-02-15,Withdrawals,451092
2024-02-16,Deposits,31135
2024-02-16,Withdrawals,20268
2024-02-20,Deposits,287659
2024-02-20,Withdrawals,245782
2024-02-21,Deposits,13115
2024-02-21,Withdrawals,45991
2024-02-22,Deposits,302640
2024-02-22,Withdrawals,331845
2024-02-23,Deposits,48233
2024-02-23,Withdrawals,20302
2024-02-26,Deposits,32362
2024-02-26,Withdrawals,17431
2024-02-27,Deposits,257791
2024-02-27,Withdrawals,251548
2024-02-28,Deposits,16631
2024-02-28,Withdrawals,57617
2024-02-29,Deposits,456171
2024-02-29,Withdrawals,386745
2024-03-01,Deposits,42885
2024-03-01,Withdrawals,131846
2024-03-04,Deposits,37656
2024-03-04,Withdrawals,20384
2024-03-05,Deposits,258150
2024-03-05,Withdrawals,256907
2024-03-06,Deposits,20666
2024-03-06,Withdrawals,26765
2024-03-07,Deposits,237611
2024-03-07,Withdrawals,232185
2024-03-08,Deposits,16910
2024-03-08,Withdrawals,18202
2024-03-11,Deposits,38011
2024-03-11,Withdrawals,16279
2024-03-12,Deposits,256602
2024-03-12,Withdrawals,259275
2024-03-13,Deposits,17798
2024-03-13,Withdrawals,53152
2024-03-14,Deposits,242028
2024-03-14,Withdrawals,241202
2024-03-15,Deposits,148482
2024-03-15,Withdrawals,93503
2024-03-18,Deposits,60173
2024-03-18,Withdrawals,18369
2024-03-19,Deposits,258946
2024-03-19,Withdrawals,260270
2024-03-20,Deposits,18189
2024-03-20,Withdrawals,50257
2024-03-21,Deposits,274144
2024-03-21,Withdrawals,283841
2024-03-22,Deposits,19169
2024-03-22,Withdrawals,17033
2024-03-25,Deposits,32396
2024-03-25,Withdrawals,15753
2024-03-26,Deposits,242497
2024-03-26,Withdrawals,260542
2024-03-27,Deposits,21187
2024-03-27,Withdrawals,52580
2024-03-28,Deposits,238966
2024-03-28,Withdrawals,240570
2024-03-29,Deposits,27934
2024-03-29,Withdrawals,23320
2024-04-01,Deposits,267710
2024-04-01,Withdrawals,251764
2024-04-02,Deposits,234645
2024-04-02,Withdrawals,265817
2024-04-03,Deposits,21038
2024-04-03,Withdrawals,48263
2024-04-04,Deposits,223272
2024-04-04,Withdrawals,245896
2024-04-05,Deposits,16826
2024-04-05,Withdrawals,16636
2024-04-08,Deposits,35095
2024-04-08,Withdrawals,16412
2024-04-09,Deposits,224568
2024-04-09,Withdrawals,261807
2024-04-10,Deposits,31304
2024-04-10,Withdrawals,50590
2024-04-11,Deposits,242722
2024-04-11,Withdrawals,247544
2024-04-12,Deposits,78481
2024-04-12,Withdrawals,21173
2024-04-15,Deposits,307954
2024-04-15,Withdrawals,135958
2024-04-16,Deposits,272152
2024-04-16,Withdrawals,263164
2024-04-17,Deposits,73596
2024-04-17,Withdrawals,49674
2024-04-18,Deposits,289524
2024-04-18,Withdrawals,288913
2024-04-19,Deposits,26045
2024-04-19,Withdrawals,17122
2024-04-22,Deposits,42834
2024-04-22,Withdrawals,26306
2024-04-23,Deposits,251925
2024-04-23,Withdrawals,252199
2024-04-24,Deposits,27757
2024-04-24,Withdrawals,54095
2024-04-25,Deposits,233395
2024-04-25,Withdrawals,254807
2024-04-26,Deposits,23749
2024-04-26,Withdrawals,21785
2024-04-29,Deposits,39435
2024-04-29,Withdrawals,19777
2024-04-30,Deposits,496860
2024-04-30,Withdrawals,464023
2024-05-01,Deposits,44946
2024-05-01,Withdrawals,116931
2024-05-02,Deposits,236101
2024-05-02,Withdrawals,253948
2024-05-03,Deposits,21929
2024-05-03,Withdrawals,41413
2024-05-06,Deposits,28420
2024-05-06,Withdrawals,14666
2024-05-07,Deposits,218196
2024-05-07,Withdrawals,239518
2024-05-08,Deposits,17501
2024-05-08,Withdrawals,46235
2024-05-09,Deposits,232872
2024-05-09,Withdrawals,245434
2024-05-10,Deposits,13466
2024-05-10,Withdrawals,22552
2024-05-13,Deposits,29771
2024-05-13,Withdrawals,16501
2024-05-14,Deposits,234081
2024-05-14,Withdrawals,236847
2024-05-15,Deposits,167058
2024-05-15,Withdrawals,266613
2024-05-16,Deposits,296728
2024-05-16,Withdrawals,285960
2024-05-17,Deposits,18692
2024-05-17,Withdrawals,10998
2024-05-20,Deposits,26188
2024-05-20,Withdrawals,13042
2024-05-21,Deposits,232763
2024-05-21,Withdrawals,232078
2024-05-22,Deposits,25180
2024-05-22,Withdrawals,52706
2024-05-23,Deposits,234123
2024-05-23,Withdrawals,241384
2024-05-24,Deposits,13054
2024-05-24,Withdrawals,18724
2024-05-28,Deposits,254136
2024-05-28,Withdrawals,233206
2024-05-29,Deposits,13971
2024-05-29,Withdrawals,16841
2024-05-30,Deposits,229229
2024-05-30,Withdrawals,246197
2024-05-31,Deposits,274658
2024-05-31,Withdrawals,254789
2024-06-03,Deposits,47678
2024-06-03,Withdrawals,54249
2024-06-04,Deposits,213869
2024-06-04,Withdrawals,225577
2024-06-05,Deposits,19347
2024-06-05,Withdrawals,16678
2024-06-06,Deposits,210102
2024-06-06,Withdrawals,232674
2024-06-07,Deposits,14956
2024-06-07,Withdrawals,20194
2024-06-10,Deposits,32718
2024-06-10,Withdrawals,17921
2024-06-11,Deposits,216622
2024-06-11,Withdrawals,239711
2024-06-12,Deposits,26607
2024-06-12,Withdrawals,43613
2024-06-13,Deposits,269244
2024-06-13,Withdrawals,271433
2024-06-14,Deposits,52512
2024-06-14,Withdrawals,24235
2024-06-17,Deposits,231455
2024-06-17,Withdrawals,85150
2024-06-18,Deposits,222727
2024-06-18,Withdrawals,263180
2024-06-20,Deposits,231410
2024-06-20,Withdrawals,241819
2024-06-21,Deposits,25347
2024-06-21,Withdrawals,33673
2024-06-24,Deposits,39713
2024-06-24,Withdrawals,18710
2024-06-25,Deposits,222120
2024-06-25,Withdrawals,239309
2024-06-26,Deposits,22170
2024-06-26,Withdrawals,45210
2024-06-27,Deposits,212950
2024-06-27,Withdrawals,238539
2024-06-28,Deposits,75594
2024-06-28,Withdrawals,16410
2024-07-01,Deposits,251001
2024-07-01,Withdrawals,265361
2024-07-02,Deposits,231434
2024-07-02,Withdrawals,226319
2024-07-03,Deposits,19753
2024-07-03,Withdrawals,42703
2024-07-05,Deposits,229131
2024-07-05,Withdrawals,242583
2024-07-08,Deposits,29192
2024-07-08,Withdrawals,18177
2024-07-09,Deposits,236645
2024-07-09,Withdrawals,232578
2024-07-10,Deposits,16984
2024-07-10,Withdrawals,41902
2024-07-11,Deposits,280402
2024-07-11,Withdrawals,271312
2024-07-12,Deposits,16942
2024-07-12,Withdrawals,13894
2024-07-15,Deposits,181733
2024-07-15,Withdrawals,151660
2024-07-16,Deposits,259468
2024-07-16,Withdrawals,228978
2024-07-17,Deposits,15104
2024-07-17,Withdrawals,43350
2024-07-18,Deposits,230767
2024-07-18,Withdrawals,221766
2024-07-19,Deposits,14469
2024-07-19,Withdrawals,19003
2024-07-22,Deposits,29609
2024-07-22,Withdrawals,31076
2024-07-23,Deposits,253824
2024-07-23,Withdrawals,230139
2024-07-24,Deposits,16863
2024-07-24,Withdrawals,42906
2024-07-25,Deposits,230458
2024-07-25,Withdrawals,229989
2024-07-26,Deposits,13516
2024-07-26,Withdrawals,14885
2024-07-29,Deposits,29619
2024-07-29,Withdrawals,14653
2024-07-30,Deposits,249799
2024-07-30,Withdrawals,228881
2024-07-31,Deposits,281643
2024-07-31,Withdrawals,230063
2024-08-01,Deposits,259093
2024-08-01,Withdrawals,327993
2024-08-02,Deposits,17133
