record_date,transaction_type,transaction_today_amt
2023-12-13,Withdrawals,43249
2023-12-14,Deposits,246968
2023-12-14,Withdrawals,229537
2023-12-15,Deposits,179533
2023-12-15,Withdrawals,87476
2023-12-18,Deposits,48477
2023-12-18,Withdrawals,15394
2023-12-19,Deposits,228922
2023-12-19,Withdrawals,251018
2023-12-20,Deposits,23813
2023-12-20,Withdrawals,42190
2023-12-21,Deposits,229631
2023-12-21,Withdrawals,228194
2023-12-22,Deposits,23774
2023-12-22,Withdrawals,25620
2023-12-26,Deposits,255078
2023-12-26,Withdrawals,244026
2023-12-27,Deposits,13148
2023-12-27,Withdrawals,43458
2023-12-28,Deposits,281556
2023-12-28,Withdrawals,269651
2023-12-29,Deposits,85584
2023-12-29,Withdrawals,41969
2024-01-02,Deposits,449297
2024-01-02,Withdrawals,451549
2024-01-03,Deposits,16418
2024-01-03,Withdrawals,39295
2024-01-04,Deposits,242789
2024-01-04,Withdrawals,233076
2024-01-05,Deposits,14716
2024-01-05,Withdrawals,19910
2024-01-08,Deposits,30562
2024-01-08,Withdrawals,19979
2024-01-09,Deposits,228700
2024-01-09,Withdrawals,237862
2024-01-10,Deposits,20642
2024-01-10,Withdrawals,42200
2024-01-11,Deposits,275222
2024-01-11,Withdrawals,272775
2024-01-12,Deposits,29804
2024-01-12,Withdrawals,24359
2024-01-16,Deposits,419968
2024-01-16,Withdrawals,360420
2024-01-17,Deposits,20975
2024-01-17,Withdrawals,42737
2024-01-18,Deposits,247253
2024-01-18,Withdrawals,231108
2024-01-19,Deposits,19693
2024-01-19,Withdrawals,19369
2024-01-22,Deposits,36606
2024-01-22,Withdrawals,24081
2024-01-23,Deposits,246065
2024-01-23,Withdrawals,230545
2024-01-24,Deposits,37020
2024-01-24,Withdrawals,39919
2024-01-25,Deposits,286227
2024-01-25,Withdrawals,271331
2024-01-26,Deposits,16043
2024-01-26,Withdrawals,16692
2024-01-29,Deposits,32002
2024-01-29,Withdrawals,17596
2024-01-30,Deposits,251686
2024-01-30,Withdrawals,232220
2024-01-31,Deposits,245341
2024-01-31,Withdrawals,243136
2024-02-01,Deposits,275489
2024-02-01,Withdrawals,327309
2024-02-02,Deposits,16719
2024-02-02,Withdrawals,44203
2024-02-05,Deposits,31533
2024-02-05,Withdrawals,17414
2024-02-06,Deposits,257194
2024-02-06,Withdrawals,236615
2024-02-07,Deposits,17843
2024-02-07,Withdrawals,17148
2024-02-08,Deposits,247098
2024-02-08,Withdrawals,235699
2024-02-09,Deposits,12622
2024-02-09,Withdrawals,13655
2024-02-12,Deposits,29390
2024-02-12,Withdrawals,16328
2024-02-13,Deposits,255614
2024-02-13,Withdrawals,240259
2024-02-14,Deposits,18099
2024-02-14,Withdrawals,46572
2024-02-15,Deposits,388098
2024-02-15,Withdrawals,451092
2024-02-16,Deposits,31135
2024-02-16,Withdrawals,20268
2024-02-20,Deposits,287659
2024-02-20,Withdrawals,245782
2024-02-21,Deposits,13115
2024-02-21,Withdrawals,45991
2024-02-22,Deposits,302640
2024-02-22,Withdrawals,331845
2024-02-23,Deposits,48233
2024-02-23,Withdrawals,20302
2024-02-26,Deposits,32362
2024-02-26,Withdrawals,17431
2024-02-27,Deposits,257791
2024-02-27,Withdrawals,251548
2024-02-28,Deposits,16631
2024-02-28,Withdrawals,57617
2024-02-29,Deposits,456171
2024-02-29,Withdrawals,386745
2024-03-01,Deposits,42885
2024-03-01,Withdrawals,131846
2024-03-04,Deposits,37656
2024-03-04,Withdrawals,20384
2024-03-05,Deposits,258150
2024-03-05,Withdrawals,256907
2024-03-06,Deposits,20666
2024-03-06,Withdrawals,26765
2024-03-07,Deposits,237611
2024-03-07,Withdrawals,232185
2024-03-08,Deposits,16910
2024-03-08,Withdrawals,18202
2024-03-11,Deposits,38011
2024-03-11,Withdrawals,16279
2024-03-12,Deposits,256602
2024-03-12,Withdrawals,259275
2024-03-13,Deposits,17798
2024-03-13,Withdrawals,53152
2024-03-14,Deposits,242028
2024-03-14,Withdrawals,241202
2024-03-15,Deposits,148482
2024-03-15,Withdrawals,93503
2024-03-18,Deposits,60173
2024-03-18,Withdrawals,18369
2024-03-19,Deposits,258946
2024-03-19,Withdrawals,260270
2024-03-20,Deposits,18189
2024-03-20,Withdrawals,50257
2024-03-21,Deposits,274144
2024-03-21,Withdrawals,283841
2024-03-22,Deposits,19169
2024-03-22,Withdrawals,17033
2024-03-25,Deposits,32396
2024-03-25,Withdrawals,15753
2024-03-26,Deposits,242497
2024-03-26,Withdrawals,260542
2024-03-27,Deposits,21187
2024-03-27,Withdrawals,52580
2024-03-28,Deposits,238966
2024-03-28,Withdrawals,240570
2024-03-29,Deposits,27934
2024-03-29,Withdrawals,23320
2024-04-01,Deposits,267710
2024-04-01,Withdrawals,251764
2024-04-02,Deposits,234645
2024-04-02,Withdrawals,265817
2024-04-03,Deposits,21038
2024-04-03,Withdrawals,48263
2024-04-04,Deposits,223272
2024-04-04,Withdrawals,245896
2024-04-05,Deposits,16826
2024-04-05,Withdrawals,16636
2024-04-08,Deposits,35095
2024-04-08,Withdrawals,16412
2024-04-09,Deposits,224568
2024-04-09,Withdrawals,261807
2024-04-10,Deposits,31304
2024-04-10,Withdrawals,50590
2024-04-11,Deposits,242722
2024-04-11,Withdrawals,247544
2024-04-12,Deposits,78481
2024-04-12,Withdrawals,21173
2024-04-15,Deposits,307954
2024-04-15,Withdrawals,135958
2024-04-16,Deposits,272152
2024-04-16,Withdrawals,263164
2024-04-17,Deposits,73596
2024-04-17,Withdrawals,49674
2024-04-18,Deposits,289524
2024-04-18,Withdrawals,288913
2024-04-19,Deposits,26045
2024-04-19,Withdrawals,17122
2024-04-22,Deposits,42834
2024-04-22,Withdrawals,26306
2024-04-23,Deposits,251925
2024-04-23,Withdrawals,252199
2024-04-24,Deposits,27757
2024-04-24,Withdrawals,54095
2024-04-25,Deposits,233395
2024-04-25,Withdrawals,254807
2024-04-26,Deposits,23749
2024-04-26,Withdrawals,21785
2024-04-29,Deposits,39435
2024-04-29,Withdrawals,19777
2024-04-30,Deposits,496860
2024-04-30,Withdrawals,464023
2024-05-01,Deposits,44946
2024-05-01,Withdrawals,116931
2024-05-02,Deposits,236101
2024-05-02,Withdrawals,253948
2024-05-03,Deposits,21929
2024-05-03,Withdrawals,41413
2024-05-06,Deposits,28420
2024-05-06,Withdrawals,14666
2024-05-07,Deposits,218196
2024-05-07,Withdrawals,239518
2024-05-08,Deposits,17501
2024-05-08,Withdrawals,46235
2024-05-09,Deposits,232872
2024-05-09,Withdrawals,245434
2024-05-10,Deposits,13466
2024-05-10,Withdrawals,22552
2024-05-13,Deposits,29771
